name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
FL_DATE,DATE,COLUMN,Y,,N,N,,,,,
AIRLINE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
AIRLINE_DOT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
AIRLINE_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DOT_CODE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
FL_NUMBER,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
ORIGIN,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ORIGIN_CITY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DEST,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DEST_CITY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CRS_DEP_TIME,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
DEP_TIME,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
DEP_DELAY,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
TAXI_OUT,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
WHEELS_OFF,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
WHEELS_ON,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
TAXI_IN,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
CRS_ARR_TIME,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
ARR_TIME,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
ARR_DELAY,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
CANCELLED,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
CANCELLATION_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DIVERTED,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
CRS_ELAPSED_TIME,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
ELAPSED_TIME,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
AIR_TIME,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
DISTANCE,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
DELAY_DUE_CARRIER,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
DELAY_DUE_WEATHER,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
DELAY_DUE_NAS,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
DELAY_DUE_SECURITY,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
DELAY_DUE_LATE_AIRCRAFT,"NUMBER(38,1)",COLUMN,Y,,N,N,,,,,
